motif_name	AmnSINE1	Bov-tA1	Bov-tA2	Bov-tA3	HAL1	L2b	L3	LTR33A_	MER102b	MER21C	MER77B	MER81	MER89	MIR3	MLT1N2	Plat_L3	SINE2-1_BT	Tigger7
GSC2	0	0	1.6e-004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSX1	0	3.6e-041	1.6e-117	1.5e-026	0	0	0	0	0	3.0e-002	0	0	0	0	0	0	0	0
GSX2	0	9.4e-024	8.2e-072	4.5e-014	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hand1::Tcf3	0	1.3e-024	6.9e-125	4.1e-072	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAND2	0	0	2.9e-005	3.1e-065	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HES1	0	1.3e-006	4.4e-003	0	0	0	0	0	0	0	0	0	0	0	0	0	6.6e-001	0
HES2	0	1.0e-004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HES5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HES6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HES7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HESX1	0	5.8e-030	2.1e-095	3.5e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HEY1	0	2.1e-041	1.6e-041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HEY2	0	5.4e-066	5.0e-052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hic1	0	4.1e-079	1.6e-297	2.8e-063	0	0	0	0	0	0	0	0	0	0	0	0	9.1e-006	0
HIC2	0	2.1e-017	3.3e-017	8.0e-002	0	0	0	0	0	0	0	0	0	0	0	0	2.4e-017	0
HIF1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HINFP	0	5.8e-093	3.1e-373	3.4e-088	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HLF	0	5.0e-008	1.6e-019	8.3e-006	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HLTF	0	3.6e-008	8.9e-026	1.3e-011	0	0	0	0	0	0	0	0	0	0	0	0	0	0
